feature,importance
unregistered_before_cutoff,0.30453497
mean_score,0.143264
studied_credits,0.044068392
num_of_prev_attempts,0.038982376
avg_days_before_due,0.03505261
highest_education_ordinal,0.032230772
active_days,0.02995193
engagement_score,0.02867497
pct_banked,0.028583718
gender_flag,0.024311064
clicks_page,0.01964938
weighted_score,0.018059514
clicks_questionnaire,0.017075978
clicks_homepage,0.016723983
submission_rate,0.015454831
imd_band_ordinal,0.01113664
clicks_externalquiz,0.00958695
disability_flag,0.009567465
clicks_url,0.008844302
clicks_resource,0.008798464
